FECHA;PRECIP;TMAX;TMIN
2000-01-01;NA;NA;NA
2000-01-02;0;16;6
2000-01-03;0;19;4
2000-01-04;0;12;5
2000-01-05;0;14;11
2000-01-06;0;16;10
2000-01-07;0;19;3
2000-01-08;0;15;7
2000-01-09;0;17;6
2000-01-10;0;17;6
2000-01-11;0;19;4
2000-01-12;0;18;5
2000-01-13;0;14;7
2000-01-14;0;20;8
2000-01-15;0;24;8
2000-01-16;0;24;5
2000-01-17;0;24;8
2000-01-18;0;21;5
2000-01-19;0;26;6
2000-01-20;0;24;7
2000-01-21;0;26;5
2000-01-22;0;26;6
2000-01-23;0;23;5
2000-01-24;0;21;4
2000-01-25;0;20;9
2000-01-26;0;22;7
2000-01-27;0;27;6
2000-01-28;0;22;6
2000-01-29;0;20;4
2000-01-30;0;19;9
2000-01-31;0;18;7
2000-02-01;0;20;7
2000-02-02;0;20;5
2000-02-03;0;18;8
2000-02-04;0;22;11
2000-02-05;0;20;7
2000-02-06;0;21;8
2000-02-07;0;21;7
2000-02-08;0;23;7
2000-02-09;0;24;7
2000-02-10;0;25;9
2000-02-11;0;24;6
2000-02-12;0;20;11
2000-02-13;0;24;7
2000-02-14;0;19;7
2000-02-15;0;22;9
2000-02-16;0;21;10
2000-02-17;0;29;5
2000-02-18;0;18;7
2000-02-19;0;17;7
2000-02-20;0;19;10
2000-02-21;0;20;5
2000-02-22;0;21;6
2000-02-23;0;18;11
2000-02-24;0;20;4
2000-02-25;0;17;8
2000-02-26;0;17;8
2000-02-27;0;19;9
2000-02-28;0;25;5
2000-02-29;0;19;5
2000-03-01;0;20;13
2000-03-02;0;23;10
2000-03-03;0;20;4
2000-03-04;0;22;2
2000-03-05;2;18;4
2000-03-06;6;17;3
2000-03-07;0;13;6
2000-03-08;0;17;8
2000-03-09;0;17;6
2000-03-10;0;18;10
2000-03-11;0;20;6
2000-03-12;0;22;10
2000-03-13;0;25;10
2000-03-14;0;26;10
2000-03-15;0;26;10
2000-03-16;0;29;8
2000-03-17;0;25;8
2000-03-18;0;25;12
2000-03-19;0;26;8
2000-03-20;0;22;6
2000-03-21;0;25;12
2000-03-22;0;18;8
2000-03-23;0;19;11
2000-03-24;0;21;17
2000-03-25;0;22;12
2000-03-26;0;26;9
2000-03-27;0;24;12
2000-03-28;0;27;6
2000-03-29;0;23;6
2000-03-30;0;22;8
2000-03-31;0;25;8
2000-04-01;0;22;11
2000-04-02;0;23;11
2000-04-03;0;24;8
2000-04-04;0;28;12
2000-04-05;0;29;14
2000-04-06;0;31;6
2000-04-07;0;29;5
2000-04-08;0;29;4
2000-04-09;0;33;7
2000-04-10;0;31;4
2000-04-11;0;29;7
2000-04-12;0;28;12
2000-04-13;0;30;10
2000-04-14;0;32;7
2000-04-15;0;34;8
2000-04-16;0;32;7
2000-04-17;0;26;3
2000-04-18;0;29;5
2000-04-19;0;22;9
2000-04-20;0;21;9
2000-04-21;0;26;3
2000-04-22;0;25;8
2000-04-23;0;23;6
2000-04-24;0;27;6
2000-04-25;0;26;13
2000-04-26;0;31;12
2000-04-27;0;33;11
2000-04-28;0;36;5
2000-04-29;0;33;6
2000-04-30;0;28;13
2000-05-01;0;32;13
2000-05-02;0;32;14
2000-05-03;0;32;7
2000-05-04;0;34;6
2000-05-05;0;36;6
2000-05-06;0;36;6
2000-05-07;0;32;5
2000-05-08;0;32;6
2000-05-09;0;27;8
2000-05-10;0;35;7
2000-05-11;0;28;5
2000-05-12;0;26;8
2000-05-13;0;30;13
2000-05-14;0;32;16
2000-05-15;0;34;14
2000-05-16;0;23;12
2000-05-17;0;25;12
2000-05-18;0;26;5
2000-05-19;0;32;10
2000-05-20;0;34;18
2000-05-21;0;36;6
2000-05-22;0;35;8
2000-05-23;0;36;3
2000-05-24;0;31;5
2000-05-25;0;32;6
2000-05-26;0;28;7
2000-05-27;0;32;12
2000-05-28;0;37;16
2000-05-29;0;37;8
2000-05-30;0;38;5
