FECHA;PRECIP;TMAX;TMIN
1964-10-03;0;NA;NA
1964-10-04;0;35;19
1964-10-05;0;37;20
1964-10-06;0;38;20
1964-10-07;0;35,5;17,5
1964-10-08;0;37;17
1964-10-09;0,01;36,5;16
1964-10-10;0;36;16
1964-10-11;0;31;15
1964-10-12;0;34,5;16
1964-10-13;0;31;13
1964-10-14;0;31;11
1964-10-15;0,01;28;16
1964-10-16;20;18,5;15
1964-10-17;10;22;13
1964-10-18;2;25;11
1964-10-19;0;27;14
1964-10-20;0;28;20
1964-10-21;0;31;18
1964-10-22;0;31;16
1964-10-23;0;29;12
1964-10-24;0;23;12
1964-10-25;0;24;8
1964-10-26;0;24,5;9
1964-10-27;0;29;8
1964-10-28;0;30,5;12
1964-10-29;0;27;12
1964-10-30;0;27;9
1964-10-31;0;27;8
1964-11-01;0;23,5;8
1964-11-02;0;23;10
1964-11-03;0;25;9
1964-11-04;0;24;13
1964-11-05;0;28;10
1964-11-06;0;27,5;9
1964-11-07;0;26,5;8,5
1964-11-08;0;23;6
1964-11-09;0;16,5;9
1964-11-10;0;19;8
1964-11-11;0;21;7
1964-11-12;0;21;2,5
1964-11-13;0;22;9
1964-11-14;20;21,5;8
1964-11-15;2;21;9
1964-11-16;0;21,5;9
1964-11-17;0;25;7
1964-11-18;0;19;6
1964-11-19;0;21,5;8,5
1964-11-20;0;27;9
1964-11-21;0;22;8,5
1964-11-22;0;22;5
1964-11-23;0;23;7
1964-11-24;0;25;11
1964-11-25;0;21;6
1964-11-26;0;19;5
1964-11-27;0;19;8
1964-11-28;0;25,5;5,5
1964-11-29;0;25;10
1964-11-30;0;23;7
1964-12-01;0;24,5;6
1964-12-02;0;16;9
1964-12-03;0;12,5;9
1964-12-04;0;17,5;1
1964-12-05;0;21;3
1964-12-06;0;18;12
1964-12-07;0;18;6
1964-12-08;0;12;6
1964-12-09;0;20;1
1964-12-10;0;21;2
1964-12-11;0;20;2
1964-12-12;0;21;6
1964-12-13;0;16;10
1964-12-14;0;25;10
1964-12-15;0;22;0
1964-12-16;0;19;-2
1964-12-17;0;19;4
1964-12-18;0,01;14;7
1964-12-19;0;13;6
1964-12-20;0;25;2,5
1964-12-21;0;25;5
1964-12-22;0;26;6,5
1964-12-23;0;26;6
1964-12-24;0;26;8
1964-12-25;0;23;9
1964-12-26;0;25;6,5
1964-12-27;0;20;3
1964-12-28;0,01;15;9
1964-12-29;0;14;1
1964-12-30;0;13;6
1964-12-31;0;11,5;7
1965-01-01;0;14;-1
1965-01-02;0;16;1
1965-01-03;0;18;-1
1965-01-04;0;19;2
1965-01-05;0,01;22;6
1965-01-06;10;17;10
1965-01-07;20;16;10
1965-01-08;0;17;4
1965-01-09;0;19;1
1965-01-10;0;23;5
1965-01-11;0;22;0
1965-01-12;0;20;1
1965-01-13;0;19,5;5
1965-01-14;0;20;11
1965-01-15;0,01;20,5;10
1965-01-16;0;22;10
1965-01-17;0;20;13
1965-01-18;0;27,5;10
1965-01-19;0;26;8
1965-01-20;0;15,5;9
1965-01-21;0;17;2
1965-01-22;0;15;2,5
1965-01-23;0;23;5
1965-01-24;0;15;5
1965-01-25;0;17;0
1965-01-26;0;17;-1
1965-01-27;0;19;10
1965-01-28;0;21,5;3
1965-01-29;0;21;6
1965-01-30;0;25;3
1965-01-31;0;24;5
1965-02-01;0;22;9
1965-02-02;0;24;7
1965-02-03;0;23;6
1965-02-04;0;25;9
1965-02-05;0;24;5
1965-02-06;0,01;11;9
1965-02-07;20;14;6
1965-02-08;0;16;1
1965-02-09;0;11;4
1965-02-10;0;13;1,5
1965-02-11;0;12;-2
1965-02-12;0;14;2,5
1965-02-13;0;15;3
1965-02-14;0;16;3
1965-02-15;0;16;-1
1965-02-16;0;17;4
1965-02-17;0;21;2
1965-02-18;0;23;10
1965-02-19;0;25;13
1965-02-20;0;26;5
1965-02-21;0;27;6
1965-02-22;0;22;3
1965-02-23;0;19;3
1965-02-24;0;19;10
1965-02-25;0;26;4
1965-02-26;0;29;5
1965-02-27;0;29;9
1965-02-28;0;22;4
1965-03-01;0;23;2
1965-03-02;0;20;10
1965-03-03;0;17;5
1965-03-04;0;18,5;7
1965-03-05;0;22;0
1965-03-06;0;22;0
1965-03-07;0;19;8,5
1965-03-08;0;20;4
1965-03-09;0;19;5
1965-03-10;0;10;8
1965-03-11;5;15;7
1965-03-12;5;17;7
