FECHA;PRECIP;TMAX;TMIN
1972-03-01;0;23;3
1972-03-02;0;23;-4
1972-03-03;0;24;-3
1972-03-04;0;25;-1
1972-03-05;0;19;2
1972-03-06;0;23;4
1972-03-07;0;24;5
1972-03-08;0;23;3
1972-03-09;0;25;8
1972-03-10;9;20;8
1972-03-11;0;19;6
1972-03-12;0;23;5
1972-03-13;0;22;1
1972-03-14;0;18;4
1972-03-15;0;20;2
1972-03-16;0;20;1
1972-03-17;0;23;6
1972-03-18;0;18;2
1972-03-19;0;20;4
1972-03-20;0;18;7
1972-03-21;0;19;7
1972-03-22;0;20;7
1972-03-23;0;19;9
1972-03-24;0;24;8
1972-03-25;2,8;22;9
1972-03-26;0;18;7
1972-03-27;0;24;7
1972-03-28;0;20;3
1972-03-29;0;19;2
1972-03-30;0;19;1
1972-03-31;0;22;1
1972-04-01;0;19;3
1972-04-02;0;23;2
1972-04-03;0;23;2
1972-04-04;0;27;4
1972-04-05;0;27;8
1972-04-06;0;30;8
1972-04-07;0;31;9
1972-04-08;0;26;7
1972-04-09;0;29;9
1972-04-10;0;28;7
1972-04-11;0;31;8
1972-04-12;0;28;9
1972-04-13;0;28;11
1972-04-14;0;28;8
1972-04-15;0;29;5
1972-04-16;0;27;10
1972-04-17;0;26;10
1972-04-18;0;27;8
1972-04-19;0;27;9
1972-04-20;0;28;10
1972-04-21;0;28;8
1972-04-22;0;27;9
1972-04-23;0;25;8
1972-04-24;0;27;7
1972-04-25;0;25;10
1972-04-26;0;26;9
1972-04-27;0;29;9
1972-04-28;0;28;11
1972-04-29;0;26;6
1972-04-30;0;25;8
1972-05-01;0;29;7
1972-05-02;0;27;9
1972-05-03;0;25;6
1972-05-04;0;26;8
1972-05-05;0;25;8
1972-05-06;0;27;7
1972-05-07;0;28;8
1972-05-08;0;26;9
1972-05-09;0;27;6
1972-05-10;0;26;7
1972-05-11;0;26;6
1972-05-12;0;28;7
1972-05-13;0;27;6
1972-05-14;0;25;7
1972-05-15;0;24;7
1972-05-16;0;30;7
1972-05-17;0;28;8
1972-05-18;0;29;9
1972-05-19;0;28;10
1972-05-20;0;31;11
1972-05-21;0;29;12
1972-05-22;0;30;15
1972-05-23;0;29;11
1972-05-24;1,5;26;11
1972-05-25;0;24;11
1972-05-26;32;25;10
1972-05-27;20,7;24;11
1972-05-28;52,8;23;12
1972-05-29;6,7;24;10
1972-05-30;2,7;22;12
1972-05-31;0;23;13
1972-06-01;1,2;30;10
1972-06-02;3;28;10
1972-06-03;1,3;27;12
1972-06-04;22,4;26;13
1972-06-05;7,3;25;10
1972-06-06;13,8;26;10
1972-06-07;39,4;24;12
1972-06-08;0;26;10
1972-06-09;1,4;28;12
1972-06-10;0;30;13
1972-06-11;1,3;32;12
1972-06-12;0;31;14
1972-06-13;23;28;15
1972-06-14;0;27;13
1972-06-15;0;28;12
1972-06-16;0;29;12
1972-06-17;0;27;14
1972-06-18;0;26;11
1972-06-19;0;25;10
1972-06-20;0;29;12
1972-06-21;0;27;11
1972-06-22;0;30;13
1972-06-23;0;29;14
1972-06-24;15,2;26;12
1972-06-25;0;27;10
1972-06-26;0;28;11
1972-06-27;21,7;26;13
1972-06-28;0;25;10
1972-06-29;0;27;11
1972-06-30;2;28;11
1972-07-01;8;26;12
1972-07-02;36;25;14
1972-07-03;13;23;14
1972-07-04;0;21;11
1972-07-05;0;24;10
1972-07-06;0;25;9
1972-07-07;0;24;10
1972-07-08;0;26;10
1972-07-09;0;29;12
1972-07-10;0;27;11
1972-07-11;0;30;13
1972-07-12;0;28;12
1972-07-13;0;26;13
1972-07-14;4,5;25;11
1972-07-15;20;22;10
1972-07-16;2,2;23;10
1972-07-17;0,2;24;11
1972-07-18;39;21;10
1972-07-19;22,4;22;8
1972-07-20;9;20;10
1972-07-21;0,8;24;9
1972-07-22;0,7;26;11
1972-07-23;0;27;12
1972-07-24;0;25;13
1972-07-25;0,2;25;11
1972-07-26;0;27;10
1972-07-27;0;26;12
1972-07-28;0;28;13
1972-07-29;0;29;12
1972-07-30;0;27;10
1972-07-31;0;26;11
1972-09-01;0;21;10
1972-09-02;0;25;12
1972-09-03;0;21;11
1972-09-04;0;26;9
1972-09-05;0;21;12
1972-09-06;0;29;9
1972-09-07;0;25;13
1972-09-08;0;21;10
1972-09-09;0;23;10
1972-09-10;1,6;21;11
1972-09-11;0;24;9
1972-09-12;0;21;11
1972-09-13;0;21;10
1972-09-14;8,3;20;9
1972-09-15;5,4;21;13
1972-09-16;27,4;15;13
1972-09-17;11;21;12
1972-09-18;0;20;13
1972-09-19;0;21;10
1972-09-20;0;20;9
1972-09-21;0;18;9
1972-09-22;6;17;12
1972-09-23;0,3;15;13
1972-09-24;0;17;10
1972-09-25;0;17;9
1972-09-26;0;23;11
1972-09-27;0;20;12
1972-09-28;0;19;10
1972-09-29;0;21;9
1972-09-30;0;18;7
1972-10-01;0;24;9
1972-10-02;0;23;10
1972-10-03;0;22;6
1972-10-04;0;22;4
1972-10-05;0;19;9
1972-10-06;0;22;9
1972-10-07;0,4;22;12
1972-10-08;0,7;21;11
1972-10-09;6,8;22;13
1972-10-10;0;21;13
1972-10-11;0;19;11
1972-10-12;0;18;11
1972-10-13;0;19;11
1972-10-14;0;20;8
1972-10-15;0;21;9
1972-10-16;0;22;8
1972-10-17;0;24;8
1972-10-18;0;22;9
1972-10-19;0;21;9
1972-10-20;0;19;10
1972-10-21;0,2;21;13
1972-10-22;0;23;8
1972-10-23;0;23;9
1972-10-24;0;21;12
