ID_ESTAC;FECHA_MIN;FECHA_MAX;TOTAL_DIAS;NA_PRECIP;NA_TMAX;NA_TMIN;PCT_NA_PRCP;PCT_NA_TMAX;PCT_NA_TMIN
dia01097;1995-08-01;2025-10-31;10126;272;643;643;2,6862;6,35;6,35
dia01098;1986-10-12;2025-04-30;13373;128;247;247;0,9572;1,847;1,847
dia01099;1985-02-15;2024-11-30;14503;2;34;34;0,0138;0,2344;0,2344
dia01101;1986-02-01;2024-12-31;14122;2;2;2;0,0142;0,0142;0,0142
dia01102;1990-01-01;2026-05-01;13228;35;84;84;0,2646;0,635;0,635
dia01103;1998-06-01;2026-03-31;9702;14;30;30;0,1443;0,3092;0,3092
dia01104;2002-01-20;2016-11-30;4647;1068;778;778;22,9826;16,742;16,742
dia01105;2001-03-10;2026-01-31;7917;103;244;244;1,301;3,082;3,082
dia01106;2001-01-22;2026-03-31;8412;234;514;514;2,7817;6,1103;6,1103
dia01108;2002-03-01;2015-01-31;4535;1;102;102;0,0221;2,2492;2,2492
