COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 1106 
 NOMBRE    : LA PRIMAVERA 
 ESTADO    : AGUASCALIENTES 
 MUNICIPIO : JESÚS MARÍA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 21.95861111 ° 
 LONGITUD  : -102.4758333 ° 
 ALTITUD   : 2059 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
2001-01-22	0	NULO	NULO	NULO
2001-01-23	0	NULO	23	3
2001-01-24	0	NULO	25	5
2001-01-25	0	NULO	22	4
2001-01-26	0	NULO	23	7
2001-01-27	0	NULO	22	6
2001-01-28	0	NULO	20	4
2001-01-29	0	NULO	22	6
2001-01-30	0	NULO	22	8
2001-01-31	0	NULO	24	8
2001-02-01	0	5.74	22	10
2001-02-02	0	3.21	22	6
2001-02-03	0	3.43	20	8
2001-02-04	0	5.2	21	5
2001-02-05	0	3.24	21	6
2001-02-06	0	5.83	23	2
2001-02-07	0	4.6	23	4
2001-02-08	0	4.73	20	5
2001-02-09	0	6.02	27	8
2001-02-10	0	4.5	25	9
2001-02-11	0	2.35	27	8
2001-02-12	0	5.8	28	8
2001-02-13	0	4.19	27	8
2001-02-14	0	6.16	24	8
2001-02-15	0	6.8	27	11
2001-02-16	0	4.69	26	7
2001-02-17	0	4.45	26	9
2001-02-18	0	4.86	27	5
2001-02-19	0	3.93	27	5
2001-02-20	0	5.35	26	7
2001-02-21	0	3.8	26	7
2001-02-22	0	5.52	23	8
2001-02-23	0	6.28	19	7
2001-02-24	0	5.41	25	6
2001-02-25	0	7.82	25	8
2001-02-26	3.5	1.64	24	5
2001-02-27	0	5.64	23	11
2001-02-28	0	6.74	24	7
2001-03-01	2.5	5.11	24	7
2001-03-02	20.8	4.63	21	8
2001-03-03	0	5.41	22	4
2001-03-04	0	2.69	22	3
2001-03-05	0	4.84	21	5
2001-03-06	0	6.31	22	3
2001-03-07	0	2.62	25	6
2001-03-08	0	5.09	26	7
2001-03-09	0	6.39	25	5
2001-03-10	0	4.61	25	9
2001-03-11	0	7.56	26	7
2001-03-12	0	5.71	25	8
2001-03-13	0	6.74	28	7
2001-03-14	0	4.19	26	9
2001-03-15	0	5.63	24	7
2001-03-16	0	7.29	23	7
2001-03-17	0	9.78	23	8
2001-03-18	0	7.26	23	5
2001-03-19	0	8.43	24	7
2001-03-20	0	6.29	25	9
2001-03-21	0	5.13	27	7
2001-03-22	0	12.24	27	7
2001-03-23	0	4.93	26	8
2001-03-24	0	6.38	19	6
2001-03-25	0	3.56	20	7
2001-03-26	0	7.07	27	7
2001-03-27	0	8.16	25	7
2001-03-28	0	6.94	25	10
2001-03-29	0	6.17	26	4
2001-03-30	0	4.87	27	5
2001-03-31	0	6.38	28	5
2001-04-01	0	7.1	29	6
2001-04-02	0	11.55	30	8
2001-04-03	0	9	28	9
2001-04-04	0	7.35	33	5
2001-04-05	0	8.5	30	11
2001-04-06	0	5.41	30	9
2001-04-07	0	10.54	31	10
2001-04-08	0	6.56	31	11
2001-04-09	0	10.74	32	11
2001-04-10	0	12.1	31	10
2001-04-11	0	11.6	30	14
2001-04-12	0	7.45	32	11
2001-04-13	0	11	33	11
2001-04-14	0	9.3	30	12
2001-04-15	0	7.59	33	13
2001-04-16	0	9.52	31	12
2001-04-17	6.2	8.42	29	10
2001-04-18	1	9.46	28	11
2001-04-19	1	7.88	30	11
2001-04-20	0	8.12	32	11
2001-04-21	0	10.8	31	9
2001-04-22	0	9.7	31	10
2001-04-23	0	3.79	30	12
2001-04-24	0	3.29	29	13
2001-04-25	6	3.37	25	9
2001-04-26	0	3.8	25	10
2001-04-27	0	4.78	24	10
2001-04-28	0	4.39	26	8
2001-04-29	0	6.38	27	10
2001-04-30	0	2.66	28	9
2001-05-01	0	2.25	27	10
2001-05-02	0	6.91	28	12
2001-05-03	0	5.78	29	9
2001-05-04	0	7.18	26	12
2001-05-05	0	6.06	21	10
